"FG","Tlevel","v.lev","h.lev","vpos"
"SPL",2.86331655019709,12,6,1
"GCR",2.40903686712574,12,6,3
"BRC",3.25748596646872,12,6,7
"VID",4.19569484902985,12,6,5.5
"ORO",4.18238884782792,12,6,4.5
"ALF",3.97483197393834,12,6,8.5
"ANG",4.24599645586275,12,6,6.5
"CHO",4.89166669736059,12,6,9
"OTA",4.33979255142118,12,6,7.5
"DOL",4.89912747518473,12,6,3
"BIR",4.1974503564365,12,6,11.5
"SQD",2.01369226396068,12,6,7
"OCT",4.23768594011437,12,6,10.5
"LPF",4.15239387767454,12,6,9.5
"SPF",3.83851521531083,12,6,3.5
"SBF",4.10694083144536,12,6,1.5
"MPF",3.61469403689841,12,6,2.5
"LBF",4.33390009148637,12,6,0.5
"SZO",2,12,6,11
"MZO",2.84772659312212,12,6,9
"LZO",2.91918872335784,12,6,5
"SCR",3.43013222992795,12,6,11
"BFF",2,12,6,5
"COR",2.31893418673184,12,6,9
"SUR",2.03764461494149,12,6,1
"MOL",2.98238349572978,12,6,3
"MA",1,12,6,11
"PB",1,12,6,1
"DL",1,12,6,7
"LPH",1.5,12,6,NA
"DR",1,12,6,5
"SPH",1,12,6,3
"BB",1,12,6,9
